name,weight,heightInInches
Gary Alcorn,225,81
Bob Anderegg,200,75
Paul Arizin,190,76
Dick Barnett,190,76
Elgin Baylor,225,77
Ernie Beck,190,76
Whitey Bell,180,72
Al Bianchi,185,75
Bucky Bockhorn,200,76
Carl Braun,180,77
Barney Cable,175,79
Wilt Chamberlain,275,85
Gene Conley,225,80
Ed Conlin,200,77
Larry Costello,186,73
Bob Cousy,175,73
Archie Dees,205,80
Connie Dierking,222,81
Walter Dukes,220,84
Boo Ellis,185,77
Wayne Embry,240,80
Mike Farmer,210,79
Ray Felix,220,83
Al Ferrari,190,76
Bob Ferry,230,80
Ed Fleming,189,75
Larry Foust,215,81
Dave Gambee,215,78
Dick Garmaker,200,75
Jack George,190,74
Tom Gola,205,78
Joe Graboski,195,79
Johnny Green,200,77
Si Green,185,74
Hal Greer,175,74
Gene Guarilia,220,77
Richie Guerin,195,76
Cliff Hagan,210,76
Steve Hamilton,190,78
Vern Hatton,195,75
Tom Hawkins,210,77
Tom Heinsohn,218,79
Bob Hopkins,205,80
Bailey Howell,210,79
Hot Rod Hundley,185,76
Andy Johnson,215,77
K.C. Jones,200,73
Sam Jones,198,76
Phil Jordon,205,82
Billy Kenville,187,74
Red Kerr,230,81
Maury King,195,74
Jim Krebs,230,80
Rudy LaRusso,220,79
Slick Leonard,185,75
Earl Lloyd,200,77
Jim Loscutoff,220,77
Clyde Lovellette,234,81
Nick Mantis,190,75
Slater Martin,170,70
Brendan McCann,178,74
Johnny McCarthy,185,73
Dick McGuire,180,72
Jack McMahon,185,73
Shellie McMillon,205,77
Willie Naulls,225,78
Chuck Noble,190,76
Togo Palazzi,205,76
Jim Palmer,224,80
Med Park,205,74
Bob Pettit,205,81
Dave Piontek,230,78
Cal Ramsey,200,76
Frank Ramsey,190,75
Jim Ray,180,73
Hub Reed,215,81
John Richter,225,81
Guy Rodgers,185,72
Phil Rollins,185,74
Joe Ruklick,220,81
Bill Russell,215,82
Woody Sauldsberry,220,79
Dolph Schayes,220,80
Kenny Sears,198,81
Frank Selvy,180,75
Paul Seymour,180,73
Chuck Share,235,83
Bill Sharman,175,73
Gene Shue,170,74
Bobby Smith,190,76
Ron Sobie,185,75
Guy Sparrow,218,78
Larry Staverman,205,79
Wayne Stevens,185,75
Jack Twyman,210,78
Charlie Tyra,230,80
Win Wilfong,185,74
Tony Windis,160,73
George Yardley,190,77
